,Awan3pm,Kelembaban3pm,Cluster
0,7.0,17.0,Tidak Bersalju
1,6.0,48.0,Tidak Bersalju
2,1.0,31.0,Tidak Bersalju
3,0.0,18.0,Tidak Bersalju
4,1.0,36.0,Tidak Bersalju
5,5.0,46.0,Tidak Bersalju
6,4.0,29.0,Tidak Bersalju
7,0.0,12.0,Tidak Bersalju
8,3.0,47.0,Tidak Bersalju
9,1.0,24.0,Tidak Bersalju
10,6.0,21.0,Tidak Bersalju
11,1.0,21.0,Tidak Bersalju
12,1.0,19.0,Tidak Bersalju
13,5.0,46.0,Tidak Bersalju
14,0.0,23.0,Tidak Bersalju
15,1.0,46.0,Tidak Bersalju
16,6.0,33.0,Tidak Bersalju
17,1.0,45.0,Tidak Bersalju
18,5.0,48.0,Tidak Bersalju
19,2.0,31.0,Tidak Bersalju
20,2.0,44.0,Tidak Bersalju
21,5.0,24.0,Tidak Bersalju
22,3.0,10.0,Tidak Bersalju
23,1.0,51.0,Tidak Bersalju
24,4.0,34.0,Tidak Bersalju
25,3.0,48.0,Tidak Bersalju
26,1.0,51.0,Tidak Bersalju
27,5.0,36.0,Tidak Bersalju
28,4.0,28.0,Tidak Bersalju
29,1.0,33.0,Tidak Bersalju
30,1.0,29.0,Tidak Bersalju
31,3.0,49.0,Tidak Bersalju
32,5.0,46.0,Tidak Bersalju
33,7.0,46.0,Tidak Bersalju
34,1.0,45.0,Tidak Bersalju
35,4.0,40.0,Tidak Bersalju
36,4.0,45.0,Tidak Bersalju
37,0.0,26.0,Tidak Bersalju
38,1.0,36.0,Tidak Bersalju
39,0.0,33.0,Tidak Bersalju
40,7.0,22.0,Tidak Bersalju
41,2.0,22.0,Tidak Bersalju
42,7.0,26.0,Tidak Bersalju
43,0.0,28.0,Tidak Bersalju
44,6.0,32.0,Tidak Bersalju
45,1.0,50.0,Tidak Bersalju
46,0.0,16.0,Tidak Bersalju
47,1.0,23.0,Tidak Bersalju
48,7.0,30.0,Tidak Bersalju
49,1.0,19.0,Tidak Bersalju
50,8.0,38.0,Tidak Bersalju
51,1.0,47.0,Tidak Bersalju
52,7.0,39.0,Tidak Bersalju
53,7.0,25.0,Tidak Bersalju
54,6.0,33.0,Tidak Bersalju
55,0.0,23.0,Tidak Bersalju
56,3.0,46.0,Tidak Bersalju
57,0.0,46.0,Tidak Bersalju
58,7.0,40.0,Tidak Bersalju
59,0.0,17.0,Tidak Bersalju
60,3.0,42.0,Tidak Bersalju
61,5.0,47.0,Tidak Bersalju
62,2.0,27.0,Tidak Bersalju
63,4.0,42.0,Tidak Bersalju
64,6.0,35.0,Tidak Bersalju
65,0.0,16.0,Tidak Bersalju
66,1.0,30.0,Tidak Bersalju
67,1.0,28.0,Tidak Bersalju
68,4.0,39.0,Tidak Bersalju
69,1.0,29.0,Tidak Bersalju
70,6.0,29.0,Tidak Bersalju
71,3.0,12.0,Tidak Bersalju
72,1.0,47.0,Tidak Bersalju
73,3.0,22.0,Tidak Bersalju
74,3.0,39.0,Tidak Bersalju
75,7.0,48.0,Tidak Bersalju
76,1.0,51.0,Tidak Bersalju
77,7.0,44.0,Tidak Bersalju
78,5.0,49.0,Tidak Bersalju
79,4.0,38.0,Tidak Bersalju
80,0.0,25.0,Tidak Bersalju
81,3.0,32.0,Tidak Bersalju
82,1.0,44.0,Tidak Bersalju
83,3.0,41.0,Tidak Bersalju
84,3.0,29.0,Tidak Bersalju
85,5.0,31.0,Tidak Bersalju
86,5.0,25.0,Tidak Bersalju
87,1.0,36.0,Tidak Bersalju
88,1.0,31.0,Tidak Bersalju
89,2.0,27.0,Tidak Bersalju
90,1.0,43.0,Tidak Bersalju
91,1.0,39.0,Tidak Bersalju
92,0.0,42.0,Tidak Bersalju
93,1.0,23.0,Tidak Bersalju
94,1.0,45.0,Tidak Bersalju
95,5.0,36.0,Tidak Bersalju
96,7.0,40.0,Tidak Bersalju
97,0.0,19.0,Tidak Bersalju
98,5.0,48.0,Tidak Bersalju
99,5.0,38.0,Tidak Bersalju
100,0.0,7.0,Tidak Bersalju
101,3.0,37.0,Tidak Bersalju
102,2.0,29.0,Tidak Bersalju
103,6.0,32.0,Tidak Bersalju
104,5.0,45.0,Tidak Bersalju
105,0.0,20.0,Tidak Bersalju
106,2.0,45.0,Tidak Bersalju
107,0.0,33.0,Tidak Bersalju
108,0.0,36.0,Tidak Bersalju
109,4.0,29.0,Tidak Bersalju
110,1.0,16.0,Tidak Bersalju
111,5.0,49.0,Tidak Bersalju
112,1.0,37.0,Tidak Bersalju
113,6.0,35.0,Tidak Bersalju
114,5.0,30.0,Tidak Bersalju
115,0.0,20.0,Tidak Bersalju
116,6.0,26.0,Tidak Bersalju
117,7.0,44.0,Tidak Bersalju
118,1.0,33.0,Tidak Bersalju
119,5.0,43.0,Tidak Bersalju
120,0.0,43.0,Tidak Bersalju
121,3.0,37.0,Tidak Bersalju
122,1.0,38.0,Tidak Bersalju
123,0.0,14.0,Tidak Bersalju
124,7.0,43.0,Tidak Bersalju
125,1.0,24.0,Tidak Bersalju
126,7.0,38.0,Tidak Bersalju
127,2.0,33.0,Tidak Bersalju
128,5.0,48.0,Tidak Bersalju
129,1.0,41.0,Tidak Bersalju
130,7.0,48.0,Tidak Bersalju
131,1.0,30.0,Tidak Bersalju
132,1.0,32.0,Tidak Bersalju
133,1.0,20.0,Tidak Bersalju
134,1.0,20.0,Tidak Bersalju
135,3.0,30.0,Tidak Bersalju
136,7.0,40.0,Tidak Bersalju
137,2.0,50.0,Tidak Bersalju
138,6.0,32.0,Tidak Bersalju
139,0.0,22.0,Tidak Bersalju
140,3.0,45.0,Tidak Bersalju
141,1.0,20.0,Tidak Bersalju
142,0.0,36.0,Tidak Bersalju
143,7.0,33.0,Tidak Bersalju
144,1.0,24.0,Tidak Bersalju
145,0.0,48.0,Tidak Bersalju
146,0.0,29.0,Tidak Bersalju
147,6.0,23.0,Tidak Bersalju
148,3.0,35.0,Tidak Bersalju
149,1.0,51.0,Tidak Bersalju
150,2.0,48.0,Tidak Bersalju
151,4.0,48.0,Tidak Bersalju
152,5.0,48.0,Tidak Bersalju
153,7.0,47.0,Tidak Bersalju
154,0.0,21.0,Tidak Bersalju
155,1.0,17.0,Tidak Bersalju
156,4.0,48.0,Tidak Bersalju
157,4.0,50.0,Tidak Bersalju
158,1.0,48.0,Tidak Bersalju
159,1.0,34.0,Tidak Bersalju
160,1.0,38.0,Tidak Bersalju
161,0.0,19.0,Tidak Bersalju
162,1.0,13.0,Tidak Bersalju
